abbiegen	turn off
garderobe	cloakroom or wardrobe
garten	garden
gasd	gas
gast	guest
gastgeber	Host or Hostess
gasthaus	Inn
gaststätte	Restaurant or inn
gebäck	Baked goods or pastry
gebacken	baked
gebären	to give birth
gebäude	Building
geben	to give
gebetenich	I'm not familiar with that word.
gebiet	area, region, territory
gebirge	mountains
gebissen	Bitten
gebranntich	Burnt offering
gebraten	Roasted
gebrauchen	to use
gebrauchsanweisung	User manual
gebrauchte	Used
gebuchtd	booklet
gebühr	fee
geburt	birth
geburtsdatum	date of birth
geburtstag	birthday
geburtstagsfeier	Birthday party
geburtstagsparty	Birthday party
geburtstagstisch	Birthday table
gedanke	Thought
gedicht	poem
gedonneren	to thunder
geduldfurchtbar	Patiently frightful
gedurft	Permitted
geehrt	Honored
geeignetes	Suitable
gefahr	Danger
gefährlich	Dangerous
gefallen	pleased
gefällen	please
gefallenlassen	Let go of
gefällt	pleases
gefang	captive
gefangen	Captive
gefängnis	prison
gefaulenzt	Shirked or shirking work
gefressen	eaten
gefroren	frozen
gefühl	feeling
gegend	region
gegensatz	Contrast
gegenstand	object
gegenteil	opposite
gegess	eaten
gegessen	eaten
gegner	opponent
gegnerin	Opponent (female) or Female opponent
gegossen	Cast
gehabtd	Habituated
gehalt	salary
gehangen	hanged
geheim	secret
geheimnis	secret
geheiztes	Heated
gehen	go
gehören	belong
gehst	goes
gehsteig	footpath
gehupt	Hee-hawed
geige	violin
geklicken	clicked
geklung	clung
gekom	come
gekonnt	Skilled, accomplished, or proficiently
gekriegen	Got
geküsst	kissed
gelandetdi	Landed
gelangweilt	Bored
gelb	Yellow
geld	Money
geldautomat	Cash machine or ATM (Automated Teller Machine)
geldbörse	Stock exchange
geldschein	Banknote
geldstrafe	Fine
gelegend	Laid down
gelegenheit	Opportunity
gelerntsie	Learned helplessness
geliehen	Borrowed
gelingen	Succeed
gelitten	suffered
gelogen	lied
gelten	apply, be valid, hold true
gemeinsam	Together
gemeinsammachen	Join together
gemeinschaft	Community
gemeinschaftsräu	Community room
gemeintmal	meantime
gemischt	Mixed
gemocht	enjoyed
gemüse	vegetables
gemüsegemütlich	vegetarian-friendly
gemüsehändler	Vegetable seller or greengrocer
gemüsesuppe	Vegetable soup
gemusst	must have been
gemütlich	Cozy
genähertdi	Approximated
genannt	called
genau	precise
genaues	accurate
genauso	exactly
genblick	Momentary glance
genehmigen	to approve
generation	generation
genießen	to enjoy
genoss	enjoyed
genossen	enjoyed
genug	Enough
genügen	be sufficient
genügend	sufficient
gepäck	Luggage
gerade	straight
geradeaus	straight on
gerät	device
geraten	become involved in a situation or problem
geräts	gadgets
gerauchtd	smoked
geräusch	noise
gerecht	Just
geregnen	rainy
gericht	Court
gerichtssaal	Courtroom
gering	small, little, slight
geritten	ridden
gern	With pleasure
gerne	with pleasure
gerneabonnieren	Subscribe gladly
gerochen	smelled
gesamt	total
gesamtgewicht	Total weight
gesamtsumme	Total sum
gesandt	Sent
geschäft	business
geschäftsmann	Businessman
geschäftspartner	Business partner
geschätztschau	estimated view or estimated look
geschehen	happened
geschenk	Gift
geschichte	History
geschieden	Divorced
geschien	happened
geschimpfen	Complain
geschirr	dinnerware, crockery, tableware
geschlecht	sex or gender
geschlos	closed
geschlossenbleiben	Remain closed
geschmackdie	taste buds
geschneit	Snowed
geschnitt	cut
geschnitten	Cut
geschnittendas	cut off
geschrien	shouted
geschütztschnell	Protected fast
geschwindigkeit	Speed
geschwindigkeitsbeschränkung	Speed restriction
geschwister	siblings
geschwommen	swum
gesellschaft	society
gesetz	law
gesichertes	secured
gesicht	Face
gespeichertdi	saved
gespräch	conversation
gesprungen	jumped
gest	past
gestartetspeise	Start meal
gestern	yesterday
gestreikt	Struck
gestunken	stank
gesund	healthy
gesunde	healthy
gesundheit	Health
getankt	Filled up
getippen	tap out
getränk	Drink
getränkeautomat	Drink vending machine
getränkekart	Drink card
gewalt	Violence
gewerkschaft	trade union
gewicht	weight
gewinn	profit
gewinnen	to win
gewinnspiel	contest or sweepstakes
gewissen	conscientious
gewitter	Thunderstorm
gewoge	Waved
gewöhnen	Get used to
gewohnheit	habit
gewöhnlich	Ordinary, usual, common
gewöhnlichvon	usually from
gewöhnt	accustomed
gewon	won
gewürz	spice
gewusst	Known
gezeltet	Tented
gibst	gives
gießen	water
gift	Poison
giftig	Toxic
girokonto	Current account
gitarre	Guitar
glace	Ice cream
glacé	Glazed
glas	glass
glatt	Smooth
glaube	believe
glauben	to believe
glaubst	believe
gleich	same
gleichberechtigt	Equal or on an equal footing
gleichfalls	likewise
gleichgeld	Equal pay
gleichzeitig	at the same time
gleis	track
glück	luck
glücklich	Happy
glückwunsch	Congratulations
goessen	to eat
goethe	Johann Wolfgang von Goethe
goethestraße	Goethe Street
gold	gold
golden	Golden
golf	golf
golfspielgespanntda	Golf game excitedly
gott	God
grad	degree
grafik	graph
gras	grass
gratis	Free
gratisgreifen	Freebooting
gratulation	Congratulations
gratulieren	congratulate
gratuliert	congratulated
gregor	Gregory
greifen	to grasp or seize
grenze	border
griffen	grasped
grill	barbecue
grillen	to flirt with someone or something
grillieren	to grill
grilliert	grilled
grillt	roasts
grillter	grilled
grinsen	to grin
grippe	influenza
groß	large
größe	size
großelter	great-grandfather
großmutter	Grandmother
großvater	Grandfather
grün	green
grund	base
gründen	to found
gründlich	thoroughly
grundstück	Plot of land
gruppe	Group
gruß	greeting
grüße	Greetings
grüssen	to greet
grüßen	to greet
grüßt	greet
guck	look
gucken	look
gültig	valid
gültiggünstig	Beneficially valid
günstig	Affordable
gute	good
gutensitzplatz	Good seat place
gutezusammenarbeit	Good cooperation
gymnasium	Secondary school or high school
gymnastik	Physical education or Gymnastics
haar	hair
habeich	I have it
haben	to have
habt	have you
hackfleisch	Minced meat
hafen	harbour
hageln	hail
hagelte	rained down
hähnchen	Chicken
halb	half
halbpension	Half-board
halbtags	part-time
halbtagsbeschäftigung	Part-time employment
hälfte	half
halle	hall
hallenbad	Indoor swimming pool
hallo	Hello
hals	neck
halsschmerz	Sore throat
halt	stop
haltbar	shelf-stable
halten	hold
haltestelle	Bus stop or train station
hamburg	Hamburger
hammer	tool with a heavy head at the end of a handle used for pounding or breaking things
hand	hand
handarbeit	Handwork or Handmade
handel	trade
handeln	act, behave, deal with
händler	Dealer
händlerin	Merchant, trader, saleswoman
handtasche	Handbag
handtuch	Towel
handtücher	Towels
handwerker	Craftsman or tradesperson
handwerkerin	Craftswoman or artisan woman
handy	handy
handynummer	Mobile phone number
hängen	hang
hannover	Hanover
hans	John
harriett	Harriet
hart	tough, harsh
hase	Rabbit
hassen	to hate
hässlich	ugly
hasst	hates
hast	have
hastn	hasten
hatd	had
hatgebaden	Bathed in happiness
hatgeduzt	has been exhausted
hatgefunden	found
hatgetrieben	Gear-driven
hatgewöhnen	Get used to having
hatkritisch	Critic of hats
hatsenden	send off
häufig	often
haupt	main
hauptbahnhof	Main station
hauptbahnhöfen	main railway stations
hauptgewinn	Main profit
hauptrolle	Leading role
hauptstadt	Capital city
hauptstraße	Main Street
haus	house
hausarbeit	Home work
hausarzt	Family doctor
hausaufgabe	Homework
hausaufgabenhelfen	Household helper
hausbewohner	Resident
hause	house
hauseschiebe	House shove or House push
hausfrau	Housewife
haushalt	household
hausmeister	Building manager or caretaker
hausmeisterin	Housekeeper or caretaker (female)
hausner	Householder
hausnummer	House number
hausordnung	House rules
haustier	pet
haustür	Front door
haut	skin
heben	lift
heft	book
heidelberg	Heidelberg
heidrun	Heidrun
heim	home
heimat	Homeland
heimatheimlichdas	Homely
heimda	Homecoming
heimlich	Secretly
heimweh	Homesickness
heimwehheiraten	Homesickness marriage
heiraten	to get married
heiß	hot
heißen	to be called
heizen	to heat
heizung	heating system
held	kept
heldin	Heroine
helf	help
helfen	to help
hell	bright
hellblau	Sky blue
hemd	shirt
hend	hand
hendl	rooster or capon (young rooster castrated before puberty)
heraus	out
herausfinden	to find out
herausforderung	Challenge
herauskommen	come out
herbst	autumn
herd	Flock
herein	Herein
herkunft	Origin
herr	Sir, Mister
herrlich	wonderful
herrschen	to reign or rule
herstellen	manufacture
hersteller	Manufacturer
herunter	down
heruntergefahren	Downshifted
heruntergeladend	downloaded
herz	heart
herzlich	Warmly, cordially
herzliche	Warm-hearted, cordial
herzlichen	warmest
heute	today
heutevöllig	completely today
heutig	current, contemporary
hier	here
hierher	Here
hilfe	Help
hilfn	helping
hilfst	helps
himmel	heaven
hineingelassen	let in
hing	hung
hingefallen	dropped by
hingewiesendie	pointedly indicated
hinstellen	to place in front of something or someone
hinten	behind
hinterer	rear
hinterher	afterwards
hinterherhinweisen	to point out afterwards
hinterlassen	left behind
hinterlässen	leave behind
hinunter	downwards
hinunterstürzt	plummeted downwards
hinweis	Hint
hinweisen	to indicate or point out
historisch	Historical
hitze	heat
hobby	hobby
hoch	high
hochgeladen	uploaded
hochladen	upload
höchstens	at most
höcht	height
hochzeit	Wedding
hochzeitstermin	Wedding date or Wedding appointment
hoffen	to hope
hoffentlich	hopefully
hoffnung	hope
höflich	Polite
höhe	height
holen	to fetch or get
holz	wood
holzder	Woodwardia
holzfußboden	Wooden floor
honig	honey
honighör	Honey bee
hören	to hear
hörer	listener
hörerin	listener
hörerinne	listener
hörst	hear
hose	hose
hotel	Hotel
hotelbar	hotel bar
hsen	Hens
huber	Huber
hübsch	pretty
hügel	hill
hügelig	hilly
huhn	chicken
hühnchen	Chicken
humor	humour
hund	dog
hunger	hunger
hungrig	Hungry
hupe	Horn
hupen	to honk (a horn)
husten	cough
hütte	Cabin
ichbusfahrerin	Bus driver
ichdeutsch	I Deutsch
ichholz	Iroko wood
ichihn	I couldn't find a match for "ichihn" in my database. It's possible that it's a misspelling or a non-standard word.
ichlade	I charge
ichmöchter	I don't have a translation for "ichmöchter". It appears to be a made-up or non-existent word in German.
icht	It
ideal	perfect
idealdi	Idealist
idee	Idea
ieren	Iren
ihnen	them
ihrehilfe	Your help
ihreschwester	their sister
ihrhandy	Your phone
illegal	unlawful
imbiss	snack bar
imkrankenhaus	in hospital
imlager	In stock
imletzt	Finally
immen	to immerse
immer	always
impfen	Vaccinate
impfung	Vaccination
import	Import
imsportverein	Sports Club
indem	in which, whereby
inden	inside
individuell	Individual
individuelldi	Individual
industrie	industry
infektion	Infection
information	Information
informieren	inform
infrage	in question
inge	Inge
ingen	engineer
ingenieur	Engineer
inhalt	content
inhaltspunkt	Content point
inklusiveinne	inclusive
inland	landlocked
innen	inside
innenstadt	city centre
innerer	Inner
innerhalbd	half within
insel	Island
inserat	classified ad
insetzen	Insert
insgesamt	in total
inshaus	In-house
installieren	to install
institut	Institute
instrument	tool
integration	Integration
integrieren	integrate
intelligent	Intelligent
intelligenz	intelligence
intelligenztest	Intelligence test
intensiv	Intensive
intensivkurs	Intensive course
interes	interest
interessant	interesting
interesse	Interest
interessieren	interest
interessiert	Interested
interessierter	Interested
interkulturell	Inter-culturally
international	International
internationalenbeziehung	International relations
internet	Internet
internetforum	Internet forum
internetnutzer	Internet user
interview	interview
inzwischen	Meanwhile
inzwischenirgend	Meanwhile somehow
irgendein	any
irgendwann	Sometime
irina	Irina
irren	to go mad or to be insane
irrst	are mistaken
issen	to be
isst	eats
istdoch	is it not?
istein	stone
istgeflossen	has flowed in
isthausmann	Houseman
istnicht	is not
istnie	isn't it
istständig	Regularly
italien	Italian
jacke	Jacket
jahr	year
jahrealt	Years old
jahreszeit	season
janis	Janis
jänner	January
januar	January
japaner	Japanese
jause	snack
jean	Jeans
jeans	jeans
jededi	every day
jeder	every
jederzeit	at any time
jedoch	However
jedochjemalsjemand	nevertheless someone
jemals	ever
jemand	someone
jennifer	Jennifer
jetzt	now
jeweils	each
john	John
jonas	Jonah
jorge	George
josé	Joseph
journalist	Journalist
journalistin	Journalist
judith	Judith
jugend	Youth
jugendherberge	Youth Hostel
jugendliche	Youthful person or young person
juli	July
julia	Julia
jung	young
jüng	young
junge	young
jungeda	Youngest
juni	June
kabel	cable
kabine	Cabin
kaffee	coffee
kaffeehaus	Coffeehouse
kaffeemaschine	Coffee machine
kaiser	Emperor
kakao	Cocoa
kalender	calendar
kalt	cold
kälte	coldness
kaltmit	Cold mix
kamera	camera
kampf	struggle
kämpfen	to fight
kanal	channel
kandidat	Candidate
kännchen	kitten
kanne	jug
kannen	cans
kannst	can
kannstn	can't
kantine	Canteen
kapitel	Chapter
kaputt	broken
kaputtgehen	go to pieces
kaputtgemachen	Busted up
kaputtmachen	Break
karim	Karim
karl	Charles
karls	Charles
karneval	Carnival
karnevalfassen	Carnival masks
karott	Carrot
karotte	Carrot
karriere	Career
karte	card
kartenbüro	Ticket office
kartoffel	potato
kartoffelnod	Potato nodules
kartoffelnzu	Potatoes
käse	Cheese
käsedie	Cassette die
kasse	cashbox
kassette	cassette tape
kasten	box
katalog	catalog
katarina	Catherine
katastrophe	Disaster
katharina	Catherine
katze	cat
kauf	purchase
kaufen	to buy
käufer	buyer
käuferin	female buyer or customer
kaufhaus	Department store
kaufhäusern	Department stores
kaufich	I couldn't find a translation for "kaufich". It's possible that it's a misspelling or not a valid German word.
kaufmann	Merchant
kaugummi	Chewing gum
kaum	scarcely
kein	no
keinenrunden	rounds of none
keinr	none
keller	cellar
kellner	waiter
kellnerin	Waitress
kennen	know
kennenlernen	get acquainted with someone or something
kennst	knows
kennt	knows
kenntnis	Knowledge
kennzeichen	Registration mark
kerze	candle
kette	chain
kiel	keel
kilo	kilogram
kilometer	kilometre
kind	child
kinderbetreuung	Childcare or Child minding
kindererziehung	Child education
kindergarte	Nursery school
kindergarten	Nursery school or preschool
kindernoch	children still
kindheit	Childhood
kino	cinema
kinokarte	Movie ticket or cinema ticket
kiosk	newsstand or booth
kirche	Church
kissen	cushions
kiste	box
klagen	to complain
klappen	to fold
klar	Clear
klara	clear
klären	clarify
klasse	class
klassedi	Classified
klassenarbeit	Classwork
klaus	Claude
klavier	piano
klebe	stick
kleben	stick
klei	clay
kleid	clothing
kleidung	clothing
klein	small
kleinenbalkon	Small balcony
kleinenpension	Small pension or small boarding house
kleingeld	Small change
kleinstedetail	smallest detail
klettern	climbing
klick	click
klicken	click
klickst	clicks
klima	climate
klimaanlage	Air conditioning unit
klingel	bell
klingelen	ringing
klingeln	ringing
klingen	resound
klinik	Clinic
klopfen	knock
kloß	Dumpling
klöße	Dumplings
klug	intelligent
knapp	Close, nearly, almost
kneipe	pub
knie	knee
knochen	bones
knödel	dumpling
knopf	button
knopfdruck	key press
koch	cook
kochen	to cook
kochend	boiling
köchin	Cook
koffer	Suitcase
kollege	Colleague
kollegin	Colleague (female)
kollwitzstraße	Käthe Kollwitz Street
köln	Cologne
komiker	Comedian
komisch	funny
komm	come
kommen	to come
kommenkann	can come
kommsen	to communicate
kommst	come
kommunikation	Communication
komplett	Complete
kompliziert	complicated
kompromiss	compromise
konferenz	Conference
konfitüre	Jam
konflikt	conflict
könig	king
konkurrenz	Competition
können	can
könnenals	can as
könnsten	abilities
könntest	could
konsulat	Consulate
konsum	consumption
konsumieren	consume
kontakt	contact
konto	Account
kontonummer	Account number
kontrolle	Control
kontrollieren	to control
konzent	concentrated
konzentrieren	concentrate
konzentriern	concentrate
konzert	concert
kopf	head
kopfkissen	Pillow or headrest
kopfschmerz	Headache
kopie	Copy
kopieren	Copy
kopierer	Copier
körper	body
körperlich	physical
korrekt	correct
korrektd	Corrected
korridor	Corridor
korridorder	Corridor door
korrigieren	correct
korrigiertkomisch	Amusingly corrected
kosten	costs
kostenlos	Free of charge
kostüm	costume
kraft	strength
kraftfahrzeug	Motor vehicle
kraftfahrzeugenicht	Motor vehicle not
kräftig	robust
kraftwerk	Power plant
krank	ill
kranke	ill
krankenhaus	hospital
krankenkasse	Health insurance fund
krankenpfleger	Nurse
krankenschwester	Nurse
krankenwag	ambulance
krankheit	illness
kreativ	Creative
kredit	Credit
kreditkarte	Credit card
kreis	circle
kreuz	cross
kreuzen	cross
kreuzung	intersection
krieg	war
kriegen	get
krimi	crime drama
kriminal	criminal
kriminalpolizei	Criminal Police
krise	Crisis
kritik	Criticism
kritisch	Critical
kritisier	criticize
kritisieren	criticize
kuche	kitchen
küche	kitchen
kuchen	cake
küchenmaschine	Kitchen machine
kugelschreiber	ballpoint pen
kühl	cool
kühlschrank	Refrigerator
kuli	ballpoint pen
kultur	Culture
kulturell	Culturally
kümmern	worry about
kümmertsich	concerns itself
kunde	customer
kündigen	to resign or to terminate
kündigung	Termination
kundin	Customer
künnsten	talents
kunst	art
künstler	artist
künstlerin	Artist
künstlich	Artificial
kunststoff	Plastic
kurs	Course
kursgruppe	Study group
kursleiter	Course leader or Course instructor
kursleiterin	Course leader or Course instructor
kurve	curve
kurz	short
kürzlich	recently
kuss	kiss
küssen	kiss
küsst	kisses
küste	coast
kuvert	Envelope
lächelen	smile faintly
lächeln	smile
lächelt	smiles
lachen	laugh
laden	load
ladung	Charge
lage	Position
lager	Warehouse or storage facility
lampe	lamp
land	country
landen	land
landschaft	landscape
landstraße	Country road or rural road
landung	Landing
landwirtschaft	Agriculture
lang	long
lange	long
länge	length
längerim	Longer in
langeweile	boredom
langsam	slowly
längst	long ago
langweilen	to be bored
langweilig	boring
langweilst	boring you
langweilt	bored
langzeitstudierende	Long-term students
lärm	noise
lärmlassen	make a noise
lars	Lars
larzt	Doctor
lass	let
lassen	let
lasst	let
lässt	allows
laster	Vice
laufen	to run
laufwerk	drive
laune	Mood
laut	loud
lauter	loudly
lautsprecher	loudspeaker
lautsprecheransagen	Public address announcements
leben	to live
lebenda	Living
lebenslauf	Curriculum vitae
lebensmitt	foodstuff
lebensmittel	foodstuff
lebensmittelpreis	Food price index
leck	leak
lecker	delicious
leder	leather
ledig	Single, unmarried, or bachelor (depending on context)
ledigleer	Single-mindedness
leer	empty
legen	to lay
legst	place
lehnen	to decline or refuse
lehre	teach
lehrer	Teacher
lehrerin	Teacher
lehrling	Apprentice
lehrstelle	Teaching position
leicht	light
leid	Pain
leiden	to suffer
leider	Unfortunately
leidgetan	to be embarrassed or ashamed of someone
leihen	to lend
leise	quietly
leisten	to achieve, accomplish, perform
leistung	performance
leiten	to lead
leiter	Leader or ladder
leiterin	Chairwoman or Chairperson
leitung	Leadership or direction
leonid	Leonid
lerin	Teacher's assistant
lernen	to learn
lerner	learner
lernerin	Student
lesen	to read
leser	reader
leserbrief	Letter from a reader
leserin	reader (female) or female reader
leserinne	Reader's Digest
letzt	last
letzter	last
letztes	last
leute	people
lexikada	Lexical database
lexikon	Dictionary
lich	like
licht	light
lichtschalter	light switch
lieb	dear
liebe	love
lieben	to love
lieber	dear
liebling	darling
lieblingsessen	Favourite food
lieblingsessenmein	Favourite dish of mine
lieblingsfarbe	Favourite colour
lieblingsfilm	Favorite film
lieblingsgericht	Favourite dish
lieblingsgetränk	Favorite drink
lied	song
liefern	deliver
lieferung	Delivery
liegen	to lie
lieh	borrowed
lienstand	Standby list
lift	Elevator
limonade	lemonade
linie	line
link	link
linke	left
linker	left
links	left
lippe	lip
lisa	Lisa
liste	List
liter	letter
literatur	Literature
lkws	Local Key Word Search (LKWS)
loben	praise
loch	hole
locker	loose
löffel	spoon
logisch	logical
lohn	wage
lohnen	to be worth it
lohnerhöhung	Salary increase
lokal	local
löschen	delete
löschten	extinguished
lösen	solve
losfahren	to set off
losigkeit	Lack of ability or capability
lösung	solution
lotto	lottery
ludin	Ludine
luft	air
lüge	lie
lügen	lie
luigi	Luigi
lust	pleasure
lustig	funny
lustiges	amusing
mach	do
machen	to make
macht	makes
mädchen	Girl
magazin	magazine
magen	stomach
magenschmerz	Stomach pain or stomach ache
mager	Thin
mahlzeit	Good appetite/Enjoy your meal
mahnung	Warning
maier	Mayer
mail	email
main	main
mainz	Mainz
malen	to paint or draw
maler	painter
malerin	painter (female)
mama	Mother
manch	some
mancher	some
manchmal	sometimes
manchmalder	Sometimes
mangel	deficiency
mann	man
mannheim	Heidelberg-Manheim Line
männlich	Male
mannschaft	Team
mannschafte	crew
mantel	cloak
mäntel	coats
mappe	Portfolio
märchen	fairy tale
margarine	butter substitute
margarinedie	buttered
maria	Mary
marille	Apricot kernel
mario	Mario
marke	brand
markenschuhe	Branded shoes
markieren	mark
markt	market
marmelade	Jam
märz	March
märzerhalten	March retention
maschine	Machine
material	Material
mathematik	Mathematics
matura	Maturity exam or final exams
maturaablehne	Maturity refusal
mauer	wall
maus	mouse
maustast	mouse click
maximal	maximum
mechaniker	Mechanic
mechanikerin	Mechanic (female) or Female Mechanic
medika	medicine
medikament	medicine
medium	intermediate or middle
medizin	medicine
meer	sea
mehl	flour
mehr	more
mehrere	several
mehrheit	majority
mehrhier	multilevel
mehrpasst	more fitting
mehrplatz	Multi-purpose room
mehrwertsteuer	Value-added tax (VAT)
mehrwertsteuermeine	Value-added tax minefield
meier	Bailiff or Mayor
mein	my
meinen	to think or believe
meinetweg	My way
meineuhr	My watch
meinst	do you mean
meinung	opinion
meist	most
meiste	most
meistenleute	most people
meistens	usually
meister	Master
melden	report
meldung	Notification
menge	quantity
mensa	canteen
mensch	person
menschlich	human
ment	mind
menü	menu
mercedes	Mercedes-Benz
merken	notice
merkwürdig	odd, strange, curious
messe	fair
messen	to measure
messer	Knife
metall	metal
meter	meter
methode	Method
metropole	metropolis
metzger	Butcher
meyer	Mayer
mich	me
michael	Michael
miete	Rent
mieten	rent
mieter	tenant
mieterin	Tenant (female) or Female Tenant
mietvertrag	Lease agreement or Rental agreement
migrant	immigrant
migrantin	Female migrant or female immigrant
migration	Migration
milch	milk
mild	Mild
minderheit	Minority
mindestens	at least
mineralwasser	Mineral water
minimal	minimum
minister	Minister
minut	minute
minute	minute
mirabgeschriebe	Mirabgeschrieben
mirhelfe	Help me
mirnoch	I couldn't find a translation for "mirnoch". It's possible that it's a misspelling or a non-existent word in German.
mischen	mix
missen	to have to
misserfolg	Failure
missmeinetweg	Mis-mein-ent-Weg (literally "not meaning way")
misstrauen	to distrust
missverstand	Misunderstood
missverständnis	Misunderstanding
mitarbeiter	Employee
mitarbeiterin	Female employee or female staff member
mitbäumen	co-planting
mitbringen	bring along
mitd	with
mitdiskutieren	participate in a discussion
miteinander	together
miteinanderda	together
mitfahren	Ride along with someone
mitgeben	to give along with something else
mitglied	Member
mitgliedsausweis	Membership card
mitgliedsbeitrag	Membership fee
mitkommen	come along
mitnehmen	to take along
mitschlagober	slippery slope
mitspielen	to play along with someone or something
mitspieler	Team player
mittag	midday
mittagessen	lunch
mittags	at midday, at noon
mitte	centre
mitteilen	to communicate, to share, or to inform
mittel	medium
mitten	in the middle
mittler	average
mittlerer	middle
mittlerweile	Meanwhile
mittwochs	Wednesdays
möbel	Furniture
möbelfirma	Furniture company
mobil	mobile
mobilbox	Mobile box
mobilität	Mobility
mobiltelefon	Mobile phone
möblieren	Furnish
möbliert	Furnished
möch	would
möchten	would like
möchtest	would you like
modalverb	Modal verb
mode	fashion
modell	model
modern	modern
modul	module
mögen	to like
möglich	Possible
möglichkeit	Possibility
möglichst	as far as possible, as much as possible
möhr	Mire
möhre	parsnip
möhren	carrots
moment	moment
monat	month
monathöher	month-long
mond	moon
monee	Money
monitor	screen
monnaie	Currency
monopoly	monopoly
montag	Monday
montags	Mondays
morgen	tomorrow
morgens	in the morning
motor	engine
motorrad	motorcycle
mück	mosquito
müde	tired
müesli	Muesli
mühe	effort
müll	trash
müllabfuhr	Waste collection
müllabfuhrmit	Waste collection vehicle
müller	Miller
müllsack	bin bag
mülltonne	Dumpster
münchen	Munich
münchner	Munich
mund	mouth
mündlich	Oral
münze	coin
museum	museum
musik	music
musikalisch	musical
musikanlage	Sound system
musiker	musician
musikerin	Musician (female)
musikgruppe	Music group
musikinstrument	Musical instrument
musikkassette	cassette tape
musikunterricht	Music lessons or Music instruction
muskel	muscle
müsli	muesli
muss	must
mussen	must
müssen	must
müssenals	must as
müssenzuerst	You must first
mussn	must
mussnicht	must not
musst	must
musstdu	must you
musstn	mustn't
mutig	Brave
mutigdi	Bravely
mutter	mother
muttersprache	Mother tongue
näch	next
nachbar	neighbour
nachbarin	Neighbour
nachbarland	Neighbouring country
nachbarschule	Neighbourhood school
nachdem	after
nachdenken	think
nachfrage	Demand
nachgeschlagen	looked up afterwards
nachher	later
nachhilfe	Tutoring or private tuition
nachmittag	afternoon
nachmittags	afternoon
nachname	Surname
nachrich	news
nachricht	message
nachschauen	look again
nachschlagen	look up
nachsehen	look up, check on
nachsend	reprint
nachspeis	dessert
nächst	nearest
nächste	next
nächster	nearest
nacht	night
nachteil	disadvantage
nachtisch	side table or nightstand
nachts	at night
nachwuchs	offspring
nadel	needle
nagel	nail
nähe	nearness
nähen	sew
näheren	closer
nähern	approach
nahrungsmittel	foodstuff
naktiv	Nudist
name	Name
nämlichdi	namely
nancy	Nancy
nase	nose
nasentropfe	Nasal drop
nass	wet
natascha	Natascha
national	national
nationalmannschaft	National team
natur	nature
natürlich	Natural
nbesetzen	to beset
nböse	Nauseating
nebel	mist or fog
nebenan	next door
nebenbei	Incidentally, by the way, in passing
neblig	Misty
neffe	nephew
negativ	Negative
nehmen	take
nein	no
neinzahlen	to pay nothing
nennachdem	after that
nennen	call, name
nernähren	to nourish
nerv	nerves
nervenkrankheit	Neurosis
nervös	Anxious
nervösnett	Nervous net
nessstudio	Nest studio
nett	polite
netz	network
netzwerk	network
neubauwohnung	New-build flat or New apartment building
neuesessel	New chair
neugierig	curious
neuigkeit	News
neulich	Recently
neun	nine
neuss	Neuss
nfüllen	to fill in
nich	nothing
nicht	not
nichtgestattet	Not permitted or Not allowed
nichtraucher	Non-smoker
nichtraucherbereich	Non-smoking area
nichtraucherin	Non-smoker
nichtraucherzimmer	Non-smoking room
nichts	nothing
nicken	nod
niedrig	Low
niemals	never
nieman	Nobody
niemand	Nobody
niemandgemelden	unreported
nikos	Nicholas
nimm	take
nimmst	take
nina	Nina
nirgends	Nowhere
nirgendsnirgendwonoch	Nowhere
nirgendwo	Nowhere
nklopfen	knock on the door (literally "to knock")
noch	still, yet, also
nochd	again
nochgeld	Back pay
nochmal	again
nochmals	once more
nord	north
nordsee	North Sea
normal	usual
normalerweise	Normally
notaufnahme	Note-taking
notausgang	Emergency exit
note	Note
notfall	Emergency
notieren	note down
nötig	necessary
notiz	Note
notizzettel	Notelet
notruf	Emergency call
notwendigdi	necessary
npositiv	Nonpositive
nrennen	to run around
nsitzen	sit
nstink	Unsinkable
nüben	to nibble
nudel	noodle
null	Zero
numgehen	to take a number
nummer	number
numso	not so much
nung	tunnel
nutzen	use
nützen	to benefit from or to be useful for
nützlich	useful
nützlichnichts	Useless
nützte	benefited
nverantwortlich	Irresponsible
nversäumen	overlook
nvorwärts	Forward
nwie	new
nwir	Weir
oben	above
ober	upper
oberer	Upper
oberweg	Upper path or upper way
obst	obst
obwohl	although
oder	or
oderd	Order
ofen	oven
offen	Open
offenbar	Apparently
öffentlich	Public
öffentlichkeit	Publicity or Public
offiziell	officially
öffnen	open
öffnest	openest
öfter	more often
oftin	Often
ohne	without
ohrenschmerze	Earache
ökolad	ecological chocolate
ökologisch	Environmental
ökologischeranbau	Organic farming
ökostrom	Renewable energy or green electricity
oktober	October
oleg	Oleg
oliver	Oliver
onkel	Uncle
opel	Opel
oper	operation
operation	Operation
operieren	to operate
opfer	victim
oppen	open
optimistisch	Optimistic
orange	Orange
orangen	oranges
orchester	orchestra
ordentlich	orderly
ordination	ordination
ordnen	to arrange or order
ordner	folder
ordnung	Order
organisation	Organization
organisieren	Organize
original	Original
oskar	Oscar
österreich	Austrian
osteuropa	Eastern Europe
ostsee	Baltic Sea
ozean	ocean
özge	Different
paar	pair
paarwarm	Warm enough for a pair of socks.
päckchen	Packet
packen	to pack
packung	Package
paket	Package
pamela	Pamela
panne	Breakdown or failure (especially of a car)
papier	paper
